Equipamento;Hrs Manu;Hrs Trab;Hrs Disp;$ Total Trab;$ Total Disp;% Disp;% Util;MTBF;MTTR;CR;Data(de);Data(para)
CB181;0;40;19,94;2.750,8;1.371,28;100;66,73;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CB193;0;24;15,96;1.650,48;1.097,57;100;60,06;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CB233;0;24;29,28;1.650,48;2.013,59;100;45,05;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CB250;0;32;21,28;2.200,64;1.463,43;100;60,06;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CE17;0;24;35,94;1.617,12;2.421,63;100;40,04;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CM39;0;16;17,3;1.496,8;1.618,41;100;48,05;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CT49;0;8;11,98;438,8;657,1;100;40,04;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CT81;0;8;-1,34;438,8;0;100;120,12;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
MN31;0;32;14,62;3.705,28;1.692,84;100;68,64;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
RC38;0;17;29,62;1.300,16;2.265,34;100;36,47;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
RC43;0;7;39,62;535,36;3.030,14;100;15,02;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
RC54;0;15;31,62;1.147,2;2.418,31;100;32,18;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
RC64;0;17;29,62;1.300,16;2.265,35;100;36,47;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
TP27;0;19;34,28;928,34;1.674,93;100;35,66;0;0;CONSERVAÇÃO DE VIAS AGETO;01/06/2026;23/06/2026
CB124;0;136;-2,8;9.352,72;0;100;102,1;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB167;0;136;-2,8;9.352,72;0;100;102,1;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB175;5;96;32,2;6.601,92;2.214,42;96,25;72,07;96;5;CR BEIRA RIO;01/06/2026;23/06/2026
CB182;8;92;33,2;6.326,84;2.283,19;93,99;69,07;92;8;CR BEIRA RIO;01/06/2026;23/06/2026
CB189;0;120;13,2;8.252,4;907,79;100;90,09;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB196;8;112;13,2;7.702,24;907,79;93,99;84,08;112;8;CR BEIRA RIO;01/06/2026;23/06/2026
CB209;8;108;17,2;7.427,16;1.182,87;93,99;81,08;108;8;CR BEIRA RIO;01/06/2026;23/06/2026
CB211;0;112;14,54;7.702,24;999,94;100;88,51;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB212;0;104;29,2;7.152,08;2.008,11;100;78,08;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB213;0;108;25,2;7.427,16;1.733,03;100;81,08;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CB215;16;0;17,3;0;1.189,72;51,95;0;0;8;CR BEIRA RIO;01/06/2026;23/06/2026
CB59;32;8;19,94;550,16;1.371,29;46,61;13,35;2;8;CR BEIRA RIO;01/06/2026;23/06/2026
CG09;0;128;-1,46;8.161,28;0;100;101,15;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CO15;0;96;30,54;7.029,12;2.236,2;100;75,87;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CT27;16;80;37,2;4.388;2.040,41;87,99;60,06;40;8;CR BEIRA RIO;01/06/2026;23/06/2026
CT75;0;72;61,2;3.949,2;3.356,8;100;54,05;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
CT84;72;8;6,58;438,8;360,9;16,84;9,24;0,89;8;CR BEIRA RIO;01/06/2026;23/06/2026
EH34;0;44;42,58;5.163,84;4.997,22;100;50,82;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
EH35;8;56;69,2;6.572,16;8.121,35;93,99;42,04;56;8;CR BEIRA RIO;01/06/2026;23/06/2026
EH69;0;117;16,2;13.731,12;1.901,27;100;87,84;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
MN41;0;49;64,22;5.673,71;7.436,02;100;43,28;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
MN48;0;12;87,9;1.389,48;10.177,92;100;12,01;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
RC32;0;25;108,2;1.912;8.275,18;100;18,77;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
RC44;0;4;55,94;305,92;4.278,3;100;6,67;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
RC52;0;3;50,28;229,44;3.845,43;100;5,63;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
RE08;0;85;41,54;4.709,85;2.301,72;100;67,17;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
TE22;0;90;43,2;11.025;5.292;100;67,57;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
TP36;0;0;53,28;0;2.603,27;100;0;0;0;CR BEIRA RIO;01/06/2026;23/06/2026
BT04;0;80;39,88;5.6;2.791,6;100;66,73;0;0;CR PRÉ-MOLDADOS;01/06/2026;23/06/2026
BT05;0;96;37,2;6.72;2.604;100;72,07;0;0;CR PRÉ-MOLDADOS;01/06/2026;23/06/2026
BT06;0;36;30,6;2.52;2.142;100;54,05;0;0;CR PRÉ-MOLDADOS;01/06/2026;23/06/2026
BT07;0;108;18,54;7.56;1.297,8;100;85,35;0;0;CR PRÉ-MOLDADOS;01/06/2026;23/06/2026
BT08;0;112;14,54;7.84;1.017,8;100;88,51;0;0;CR PRÉ-MOLDADOS;01/06/2026;23/06/2026
CB206;16;0;37,28;0;2.563,76;69,97;0;0;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB210;4;0;95,9;0;6.595,05;96;0;0;4;CR METROPOLITANA;01/06/2026;23/06/2026
CB214;16;32;18,6;2.200,64;1.279,13;75,98;48,05;16;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB216;12;8;66,58;550,16;4.578,72;86,14;9,24;4;6;CR METROPOLITANA;01/06/2026;23/06/2026
CB223;14;56;63,2;3.851,12;4.346,28;89,49;42,04;28;7;CR METROPOLITANA;01/06/2026;23/06/2026
CB227;20;24;82,54;1.650,48;5.676,29;84,19;18,97;8;6,67;CR METROPOLITANA;01/06/2026;23/06/2026
CB229;8;24;94,54;1.650,48;6.501,54;93,68;18,97;24;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB239;4;24;105,2;1.650,48;7.234,62;97;18,02;24;4;CR METROPOLITANA;01/06/2026;23/06/2026
CB259;8;40;71,88;2.750,8;4.943,21;93,33;33,37;40;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB261;15;8;96,88;550,16;6.662,45;87,49;6,67;4;7,5;CR METROPOLITANA;01/06/2026;23/06/2026
CB262;12;16;98,54;1.100,32;6.776,61;90,52;12,64;8;6;CR METROPOLITANA;01/06/2026;23/06/2026
CB263;8;28;97,2;1.925,56;6.684,46;93,99;21,02;28;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB266;20;24;82,54;1.650,48;5.676,29;84,19;18,97;8;6,67;CR METROPOLITANA;01/06/2026;23/06/2026
CB268;40;0;73,22;0;5.035,35;64,67;0;0;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB278;16;16;87,88;1.100,32;6.043,52;86,65;13,35;8;8;CR METROPOLITANA;01/06/2026;23/06/2026
CB281;0;20;93,22;1.375,4;6.410,75;100;17,66;0;0;CR METROPOLITANA;01/06/2026;23/06/2026
